
016-03-03 17:55:01,209|1000000010000000100000001000000010000000|77.255.249.132:16881
2016-03-03 17:55:01,215|AA429A49F1F1BBE9EBB203DF00003D030000070B|78.179.14.123:13482
2016-03-03 17:55:01,215|C11B42B82A94FA5A5237C4D4DC025673E00BD7CF|76.14.222.158:53012
2016-03-03 17:55:01,215|729C3B693234092C4D018F1756C6DB9DC8A6D9B5|37.21.149.232:25946
2016-03-03 17:55:01,216|21ACC20FA653CFCC986C41E89FEFA39B99925774|42.3.97.226:11101
2016-03-03 17:55:01,216|E56285A4629302119BDE9623406351835F12AE8E|93.182.15.212:39176
2016-03-03 17:55:01,216|1A2B7E9235BE85CEFB62DAC8E6FF77AC2176D9BB|222.117.166.27:59188
2016-03-03 17:55:01,217|12A18CA8CB696DFCEA0124DB000058D40000133B|124.125.29.234:45085
2016-03-03 17:55:01,217|39374EF11BF8CE3541D7F0A76862FBF977AC8C60|24.200.179.6:51417
2016-03-03 17:55:01,217|F1395B5E9E37135333A641E2000D6BAC791400A0|79.124.37.242:20346
2016-03-03 17:55:01,218|5E3CB16D690FEE7AA1E5EAB9B32A8BA1C0DE1540|219.73.127.133:9540
2016-03-03 17:55:01,218|03A3CFA8E4D34220FFBBE6EBB9EE0CB8E6941A64|88.165.109.22:11101
2016-03-03 17:55:01,219|7569DF476BF4A507B43AD09E3AEE0D6703D244BA|178.213.168.104:37802
2016-03-03 17:55:01,219|D0898F5190DFBCF83D341435000048E7000019CC|177.207.32.167:13038
2016-03-03 17:55:01,224|F962B86100000000928770E33B0EA4BFF0ED9208|50.186.38.179:24874
2016-03-03 17:55:01,225|DDE970E2A79B96D80270BBF6A717AD11F6FC4AE2|80.5.19.146:48603
2016-03-03 17:55:01,225|AB0A96AE2FC33116CEA25EF0000059FA00002EAE|88.147.151.115:26318
