
016-03-10 20:35:01,743|4F49C635C2824E35A3D47BF3B555E8970FF2408B|80.31.192.242:57274
2016-03-10 20:35:01,745|9B2F9A03706B9AA48FAB579A13197301343835E2|74.83.8.220:41921
2016-03-10 20:35:01,745|561671970633105DA497DFC13F5D7ACFE71411FE|213.144.12.43:37072
2016-03-10 20:35:01,745|56726DADB8B90DFE8053E2010FE7147C1BCF01FC|213.144.12.43:37072
2016-03-10 20:35:01,746|56A856228C0D7BAA05B3EBB004C498001CD1FF77|213.144.12.43:37072
2016-03-10 20:35:01,746|5686D43EDA1A2B40982B9F6C33E7C81C7A9F09EA|213.144.12.43:37072
2016-03-10 20:35:01,746|5016E913DF968EFD9C2A2D5E00004CE900005E7B|108.160.192.152:28130
2016-03-10 20:35:01,747|56F660BB67BFD3763B24E9A033BBA7F3C1FB121C|213.144.12.43:37072
2016-03-10 20:35:01,747|56A774DDFF8D52ECDB2410037BCA4A8AB2115989|213.144.12.43:37072
2016-03-10 20:35:01,747|563C8B12B0DA46AF067CD63F2FC25352A9D1EB10|213.144.12.43:37072
2016-03-10 20:35:01,748|56099DC20986202AF62BE480FDA317ECFEEA75EE|213.144.12.43:37072
2016-03-10 20:35:01,748|56B1DEC81CEFEB4D1B4CC006D8D661C9F2889DC8|213.144.12.43:37072
2016-03-10 20:35:01,748|42AF353E00CD24D33838A753EC3B3A19BEB76DCB|188.35.131.159:49001
2016-03-10 20:35:01,749|56D1B4E25F2BC4EBBCE435B7C4F1832C98C2DE5F|213.144.12.43:37072
2016-03-10 20:35:01,749|56EF8DAD267EC8FE810DD0B80B3B32119F4FB0D2|213.144.12.43:37072
2016-03-10 20:35:01,749|56B163EADC046C2C364E44744D101D23F1BB857E|213.144.12.43:37072
2016-03-10 20:35:01,750|56523EDE901363962079D536AD3B2C14A34D144C|213.144.12.43:37072
2016-03-10 20:35:01,750|5699F8796F1F6950AB857C9ADB7FBF49F9FF8AA2|213.144.12.43:37072
2016-03-10 20:35:01,751|56B2A9E590786633488EADDFA16B4F8E6CBCE038|213.144.12.43:37072
2016-03-10 20:35:01,751|5640C5EDD491EBF0EF21BCA1CC0EB18DB136B889|213.144.12.43:37072
